MON_FIXED,MON_SCHOOL_DEPART,MON_STATION_DEPART,TUE_FIXED,TUE_SCHOOL_DEPART,TUE_STATION_DEPART,WED_FIXED,WED_SCHOOL_DEPART,WED_STATION_DEPART,THU_FIXED,THU_SCHOOL_DEPART,THU_STATION_DEPART,FRI_FIXED,FRI_SCHOOL_DEPART,FRI_STATION_DEPART
FALSE,7:55,8:10,FALSE,7:55,8:10,FALSE,7:55,8:10,FALSE,7:55,8:10,FALSE,7:55,8:10
TRUE,8:00,8:15,TRUE,8:00,8:15,TRUE,8:00,8:15,TRUE,8:00,8:15,TRUE,8:00,8:15
FALSE,8:02,8:17,FALSE,8:02,8:17,FALSE,8:02,8:17,FALSE,8:02,8:17,FALSE,8:02,8:17
FALSE,8:04,8:19,FALSE,8:04,8:19,FALSE,8:04,8:19,FALSE,8:04,8:19,FALSE,8:04,8:19
TRUE,8:05,8:20,TRUE,8:05,8:20,TRUE,8:05,8:20,TRUE,8:05,8:20,TRUE,8:05,8:20
FALSE,8:55,9:05,FALSE,8:55,9:05,FALSE,8:55,9:05,FALSE,8:55,9:05,FALSE,8:55,9:05
FALSE,9:00,9:10,FALSE,9:00,9:10,FALSE,9:00,9:10,FALSE,9:00,9:10,FALSE,9:00,9:10
TRUE,9:05,9:15,TRUE,9:05,9:15,TRUE,9:05,9:15,TRUE,9:05,9:15,TRUE,9:05,9:15
FALSE,9:08,9:18,FALSE,9:08,9:18,FALSE,9:08,9:18,FALSE,9:08,9:18,FALSE,9:08,9:18
TRUE,9:10,9:20,TRUE,9:10,9:20,TRUE,9:10,9:20,TRUE,9:10,9:20,TRUE,9:10,9:20
FALSE,9:50,10:05,FALSE,9:50,10:05,FALSE,9:50,10:05,FALSE,9:50,10:05,FALSE,9:50,10:05
TRUE,10:00,10:15,TRUE,10:00,10:15,TRUE,10:00,10:15,TRUE,10:00,10:15,TRUE,10:00,10:15
FALSE,10:02,10:17,FALSE,10:02,10:17,FALSE,10:02,10:17,FALSE,10:02,10:17,FALSE,10:02,10:17
FALSE,10:04,10:19,FALSE,10:04,10:19,FALSE,10:04,10:19,FALSE,10:04,10:19,FALSE,10:04,10:19
TRUE,10:05,10:20,TRUE,10:05,10:20,TRUE,10:05,10:20,TRUE,10:05,10:20,TRUE,10:05,10:20
TRUE,12:00,12:15,TRUE,12:00,12:15,TRUE,12:00,12:15,TRUE,12:00,12:15,TRUE,12:00,12:15
TRUE,13:00,13:15,TRUE,13:00,13:15,TRUE,13:00,13:15,TRUE,13:00,13:15,TRUE,13:00,13:15
TRUE,14:00,14:15,TRUE,14:00,14:15,TRUE,14:00,14:15,TRUE,14:00,14:15,TRUE,14:00,14:15
FALSE,15:05,15:20,FALSE,15:05,15:20,FALSE,15:05,15:20,FALSE,15:05,15:20,FALSE,15:05,15:20
TRUE,15:15,15:30,TRUE,15:15,15:30,TRUE,15:15,15:30,TRUE,15:15,15:30,TRUE,15:15,15:30
FALSE,16:05,16:20,FALSE,16:05,16:20,FALSE,16:05,16:20,FALSE,16:05,16:20,FALSE,16:05,16:20
FALSE,16:10,16:25,FALSE,16:10,16:25,FALSE,16:10,16:25,FALSE,16:10,16:25,FALSE,16:10,16:25
TRUE,16:15,16:30,TRUE,16:15,16:30,TRUE,16:15,16:30,TRUE,16:15,16:30,TRUE,16:15,16:30
FALSE,17:00,17:15,FALSE,17:00,17:15,FALSE,17:00,17:15,FALSE,17:00,17:15,FALSE,17:00,17:15
FALSE,17:05,17:20,FALSE,17:05,17:20,FALSE,17:05,17:20,FALSE,17:05,17:20,FALSE,17:05,17:20
FALSE,17:10,17:25,FALSE,17:10,17:25,FALSE,17:10,17:25,FALSE,17:10,17:25,FALSE,17:10,17:25
TRUE,17:15,17:30,TRUE,17:15,17:30,TRUE,17:15,17:30,TRUE,17:15,17:30,TRUE,17:15,17:30
FALSE,18:05,18:20,FALSE,18:05,18:20,FALSE,18:05,18:20,FALSE,18:05,18:20,FALSE,18:05,18:20
TRUE,18:15,18:30,TRUE,18:15,18:30,TRUE,18:15,18:30,TRUE,18:15,18:30,TRUE,18:15,18:30
TRUE,19:15,19:30,TRUE,19:15,19:30,TRUE,19:15,19:30,TRUE,19:15,19:30,TRUE,19:15,19:30